name,address,source,category,price_range,year,notes
Liu San Jie Mee Hoon Kueh,"206 Toa Payoh North, Singapore 310206",EatBook,Hawker - Noodles,$6-8,2025,Hidden gem with hand-torn noodles
Pizza Studio Tamaki (PST),"38 Tanjong Pagar Road, Singapore 088461",EatBook,Restaurant - Pizza,$29-40,2025,Michelin-approved Tokyo pizzeria
Kitchenman Nasi Lemak,"2 Kallang Avenue, #01-08/13, CT Hub, Singapore 339407",EatBook/Michelin Bib Gourmand,Hawker - Malay,$8-14,2025,Michelin Bib Gourmand 2025
Cheeky Signature's,Multiple outlets,EatBook,Hawker - Bee Hoon Soup,$8-12,2025,Famous wok hei bee hoon soup
Liu Lang Mian,"321 Alexandra Road, #01-03, Alexandra Central Mall, Singapore 159971",EatBook,Restaurant - Noodles,$14-15,2025,Duck chashu soba specialist
Artichoke,"46 Kim Yam Road, #01-02, New Bahru, Singapore 239531",EatBook,Restaurant - Pizza,$24-32,2025,Retro pizzeria by Chef Bjorn
Onori,"135 Amoy Street, #01-03, Far East Square, Singapore 049964",EatBook,Restaurant - Japanese,$12-18,2025,Handmade Japanese rolls from $3.58
Tsukimi Hamburg,Multiple outlets,EatBook,Restaurant - Japanese,$17-20,2025,Viral Kichi Kichi Omurice
HARU-HARU Speciality in Mentaiko,"231 Bain Street, Shifu Food Court, #01-79, Stall 4, Bras Basah Complex, Singapore 180231",EatBook,Hawker - Japanese,$10-15,2025,Ex-izakaya head chef
Partage Patisserie,"11 Cavan Road, #01-07, Cavan Suites, Singapore 209848",EatBook,Cafe - Desserts,$9-32,2025,Award-winning pastry chef
Fortuna Terrazza,"10 Craig Road, Singapore 089670",EatBook,Cafe - Brunch,$26-35,2025,Italian brunch cafe
Dragon Curry,"505 Beach Road, #B1-01, Golden Mile Food Centre, Singapore 199583",EatBook,Hawker - Curry Rice,$5-6,2025,Ex-Jumbo chef - CDC vouchers accepted
MODU,"333A Orchard Road, #02-37, Mandarin Gallery, Singapore 238897",EatBook,Restaurant - Korean,$35-40,2025,Singapore's first samgyetang specialty
